location,early,late,rate,diff
AK,5.158730158730159,29.841269841269842,4.845360824742268,24.682539682539684
AL,14.325396825396826,24.6031746031746,1.605385810460901,10.277777777777775
AR,37.817460317460316,79.76190476190476,2.054794520547945,41.94444444444444
AZ,3.359523809523809,15.38095238095238,3.5281267067176407,12.02142857142857
CA,9.685714285714285,38.142857142857146,3.569518716577541,28.457142857142863
CO,24.056122448979593,101.27551020408164,4.041946650376706,77.21938775510205
CT,20.00229591836735,74.2423469387755,3.5349633786393606,54.240051020408146
DC,27.410714285714292,99.10714285714286,3.4883720930232553,71.69642857142857
DE,37.859693877551024,64.40051020408163,1.6572572703997897,26.540816326530603
FL,13.843537414965986,30.493197278911566,2.054307974335472,16.64965986394558
GA,9.533333333333335,25.833333333333336,2.45253164556962,16.3
HI,40.578231292517,76.53061224489795,1.8406413612565444,35.95238095238095
IA,15.693581780538302,79.71014492753623,4.774897680763984,64.01656314699792
ID,5.387414965986395,25.258503401360546,3.9544171681133182,19.87108843537415
IL,11.93167701863354,61.242236024844715,4.735830931796349,49.31055900621118
IN,20.683229813664596,75.27950310559007,3.4717845889429966,54.59627329192547
KS,11.756521739130436,54.60869565217392,4.280845262440355,42.85217391304349
KY,37.80487804878049,130.31358885017423,3.3581754511987074,92.50871080139373
LA,22.68536585365854,69.76306620209058,2.945408005648969,47.077700348432046
MA,6.761038961038961,28.78787878787879,3.7092815707273536,22.026839826839826
MD,21.32334494773519,54.66202090592335,2.4486483111693826,33.33867595818816
ME,13.170731707317074,112.09756097560975,7.910499139414801,98.92682926829268
MI,42.9004329004329,111.25541125541126,2.5342668375899815,68.35497835497836
MN,2.7523809523809524,18.103896103896105,4.824642362713429,15.351515151515152
MO,16.95,36.214285714285715,2.017508953442101,19.264285714285716
MS,15.023376623376622,26.181818181818183,1.6339763332793,11.158441558441561
MT,20.980827067669175,83.43609022556392,3.795857633959876,62.45526315789474
NC,18.614835164835164,53.456043956043956,2.7252864225888684,34.84120879120879
ND,13.80631868131868,80.6456043956044,5.44670192040078,66.83928571428571
NE,15.300751879699249,41.766917293233085,2.562269372693727,26.466165413533837
NH,23.25,156.07142857142858,6.435935198821797,132.82142857142858
NJ,12.446428571428571,38.214285714285715,2.8419654714475433,25.767857142857146
NM,7.392857142857142,34.464285714285715,4.1063829787234045,27.071428571428573
NV,30.526315789473685,154.13533834586468,4.889100882423087,123.609022556391
NY,14.005714285714285,46.61785714285715,3.1066736481340445,32.612142857142864
OH,35.41208791208791,101.37362637362638,2.7840651878678138,65.96153846153847
OK,15.95989010989011,41.21978021978022,2.430427317199598,25.259890109890108
OR,28.449848024316108,92.70516717325228,3.147899680049541,64.25531914893617
PA,25.72340425531915,94.87234042553192,3.5501592356687897,69.14893617021276
RI,17.799392097264437,56.352583586626146,2.997574777687955,38.55319148936171
SC,13.951367781155016,37.75075987841946,2.524903435657654,23.799392097264445
SD,17.107277628032346,50.39353099730459,2.783053976004049,33.286253369272245
TN,33.9622641509434,70.35040431266846,2.012181019196669,36.38814016172506
TX,6.482479784366577,25.336927223719677,3.3861671469740635,18.854447439353102
UT,5.43477088948787,13.035040431266845,2.025719431994303,7.6002695417789745
VA,4.280952380952382,16.82857142857143,3.186654643823264,12.547619047619047
VT,0,98.57142857142858,98.57142857142858,98.57142857142858
WA,5.607619047619047,18.285714285714285,2.7673681176131453,12.678095238095239
WI,11.06547619047619,32.654761904761905,2.7064627528367047,21.589285714285715
WV,11.58095238095238,27.047619047619047,2.149886449659349,15.466666666666667
WY,9.029761904761905,62.96428571428571,6.277744807121661,53.9345238095238
