location,date,hits
AK,2020-03-19,63.65
AK,2020-03-20,63.65
AK,2020-03-21,0
AK,2020-03-22,74.81666666666666
AK,2020-03-23,0
AL,2020-03-19,59.15
AL,2020-03-20,98.58333333333333
AL,2020-03-21,34.88333333333333
AL,2020-03-22,53.08333333333333
AL,2020-03-23,138.01666666666665
AR,2020-03-19,118.33333333333334
AR,2020-03-20,150
AR,2020-03-21,93.33333333333334
AR,2020-03-22,50
AR,2020-03-23,166.66666666666669
AZ,2020-03-19,21.45
AZ,2020-03-20,25.35
AZ,2020-03-21,18.2
AZ,2020-03-22,14.950000000000001
AZ,2020-03-23,11.05
CA,2020-03-19,35
CA,2020-03-20,51
CA,2020-03-21,35
CA,2020-03-22,26
CA,2020-03-23,47
CO,2020-03-19,64.92156862745098
CO,2020-03-20,116.25490196078431
CO,2020-03-21,93.6078431372549
CO,2020-03-22,57.372549019607845
CO,2020-03-23,64.92156862745098
CT,2020-03-19,36.88235294117647
CT,2020-03-20,63.70588235294118
CT,2020-03-21,34.64705882352941
CT,2020-03-22,42.470588235294116
CT,2020-03-23,31.294117647058826
DC,2020-03-19,68.3695652173913
DC,2020-03-20,83.15217391304348
DC,2020-03-21,112.71739130434783
DC,2020-03-22,53.58695652173913
DC,2020-03-23,157.06521739130434
DE,2020-03-19,74.50980392156862
DE,2020-03-20,147.05882352941177
DE,2020-03-21,58.8235294117647
DE,2020-03-22,172.54901960784312
DE,2020-03-23,196.078431372549
FL,2020-03-19,27.209302325581397
FL,2020-03-20,47.09302325581396
FL,2020-03-21,45
FL,2020-03-22,36.627906976744185
FL,2020-03-23,40.81395348837209
GA,2020-03-19,28.11627906976744
GA,2020-03-20,35.372093023255815
GA,2020-03-21,23.58139534883721
GA,2020-03-22,13.604651162790697
GA,2020-03-23,31.744186046511626
HI,2020-03-19,232.55813953488374
HI,2020-03-20,193.0232558139535
HI,2020-03-21,62.79069767441861
HI,2020-03-22,102.32558139534885
HI,2020-03-23,195.34883720930233
IA,2020-03-19,68.77192982456141
IA,2020-03-20,70
IA,2020-03-21,54.03508771929825
IA,2020-03-22,47.89473684210527
IA,2020-03-23,85.96491228070175
ID,2020-03-19,27.209302325581394
ID,2020-03-20,35.372093023255815
ID,2020-03-21,25.3953488372093
ID,2020-03-22,31.744186046511626
ID,2020-03-23,11.790697674418604
IL,2020-03-19,59.719298245614034
IL,2020-03-20,86.98245614035088
IL,2020-03-21,58.42105263157895
IL,2020-03-22,49.333333333333336
IL,2020-03-23,96.0701754385965
IN,2020-03-19,113.6842105263158
IN,2020-03-20,126.31578947368422
IN,2020-03-21,91.57894736842105
IN,2020-03-22,78.94736842105263
IN,2020-03-23,142.10526315789474
KS,2020-03-19,64.91228070175438
KS,2020-03-20,101.75438596491227
KS,2020-03-21,47.368421052631575
KS,2020-03-22,68.42105263157895
KS,2020-03-23,175.43859649122805
KY,2020-03-19,106.5217391304348
KY,2020-03-20,82.17391304347827
KY,2020-03-21,59.34782608695652
KY,2020-03-22,48.69565217391305
KY,2020-03-23,91.30434782608697
LA,2020-03-19,75.32608695652175
LA,2020-03-20,86.28260869565219
LA,2020-03-21,56.152173913043484
LA,2020-03-22,69.84782608695653
LA,2020-03-23,71.21739130434783
MA,2020-03-19,26.666666666666664
MA,2020-03-20,28.444444444444443
MA,2020-03-21,13.333333333333332
MA,2020-03-22,17.77777777777778
MA,2020-03-23,25.777777777777775
MD,2020-03-19,34.95652173913044
MD,2020-03-20,78.65217391304348
MD,2020-03-21,39.32608695652174
MD,2020-03-22,37.869565217391305
MD,2020-03-23,97.58695652173913
ME,2020-03-19,217.39130434782606
ME,2020-03-20,193.47826086956522
ME,2020-03-21,86.95652173913044
ME,2020-03-22,89.13043478260869
ME,2020-03-23,108.69565217391303
MI,2020-03-19,113.88888888888889
MI,2020-03-20,161.11111111111111
MI,2020-03-21,94.44444444444444
