date,hits,location,hits_ma
2020-02-22,2.6315789473684212,USA,NA
2020-02-23,1.3157894736842106,USA,NA
2020-02-24,3.947368421052632,USA,NA
2020-02-25,3.947368421052632,USA,NA
2020-02-26,2.6315789473684212,USA,NA
2020-02-27,2.6315789473684212,USA,NA
2020-02-28,1.3157894736842106,USA,NA
2020-02-29,1.3157894736842106,USA,NA
2020-03-01,1.3157894736842106,USA,NA
2020-03-02,2.6315789473684212,USA,NA
2020-03-03,1.3157894736842106,USA,NA
2020-03-04,1.3157894736842106,USA,NA
2020-03-05,2.6315789473684212,USA,NA
2020-03-06,1.3157894736842106,USA,NA
2020-03-07,1.3157894736842106,USA,NA
2020-03-08,2.6315789473684212,USA,NA
2020-03-09,2.6315789473684212,USA,NA
2020-03-10,2.6315789473684212,USA,NA
2020-03-11,3.947368421052632,USA,NA
2020-03-12,3.947368421052632,USA,NA
2020-03-13,6.578947368421053,USA,NA
2020-03-14,7.894736842105264,USA,NA
2020-03-15,9.210526315789474,USA,NA
2020-03-16,36.8421052631579,USA,NA
2020-03-17,59.21052631578948,USA,NA
2020-03-18,64.47368421052632,USA,NA
2020-03-19,71.05263157894737,USA,NA
2020-03-20,89.47368421052633,USA,NA
2020-03-21,63.15789473684211,USA,NA
2020-03-22,51.31578947368421,USA,NA
2020-03-23,93.42105263157896,USA,NA
2020-03-24,75,USA,NA
2020-03-25,89.47368421052633,USA,NA
2020-03-26,131.57894736842107,USA,NA
2020-03-27,110.5263157894737,USA,NA
2020-03-28,103.94736842105264,USA,NA
2020-03-29,77.63157894736842,USA,NA
2020-02-22,1,CA,1
2020-02-23,1,CA,1
2020-02-24,1,CA,1
2020-02-25,2,CA,1.1428571428571428
2020-02-26,1,CA,1.1428571428571428
2020-02-27,1,CA,1.1428571428571428
2020-02-28,1,CA,1.1428571428571428
2020-02-29,1,CA,1.1428571428571428
2020-03-01,1,CA,1.1428571428571428
2020-03-02,1,CA,1.1428571428571428
2020-03-03,1,CA,1
2020-03-04,1,CA,1
2020-03-05,1,CA,1
2020-03-06,1,CA,1
2020-03-07,0,CA,0.8571428571428571
2020-03-08,0,CA,0.7142857142857143
2020-03-09,2,CA,0.8571428571428571
2020-03-10,1,CA,0.8571428571428571
2020-03-11,2,CA,1
2020-03-12,2,CA,1.1428571428571428
2020-03-13,4,CA,1.5714285714285714
2020-03-14,5,CA,2.2857142857142856
2020-03-15,5,CA,3
2020-03-16,15,CA,4.857142857142857
2020-03-17,32,CA,9.285714285714286
2020-03-18,32,CA,13.571428571428571
2020-03-19,28,CA,17.285714285714285
2020-03-20,33,CA,21.428571428571427
2020-03-21,27,CA,24.571428571428573
2020-03-22,19,CA,26.571428571428573
2020-03-23,27,CA,28.285714285714285
2020-03-24,25,CA,27.285714285714285
2020-03-25,26,CA,26.428571428571427
2020-03-26,47,CA,29.142857142857142
2020-03-27,39,CA,30
2020-03-28,30,CA,30.428571428571427
2020-02-22,0,FL,1.3949579831932775
2020-02-23,1.6274509803921569,FL,1.6274509803921569
2020-02-24,0,FL,1.3949579831932775
2020-02-25,1.6274509803921569,FL,1.1624649859943976
2020-02-26,3.2549019607843137,FL,1.6274509803921569
2020-02-27,1.6274509803921569,FL,1.3949579831932775
2020-02-28,1.6274509803921569,FL,1.3949579831932775
2020-02-29,1.6274509803921569,FL,1.6274509803921569
2020-03-01,1.6274509803921569,FL,1.6274509803921569
2020-03-02,1.6274509803921569,FL,1.8599439775910365
2020-03-03,1.6274509803921569,FL,1.8599439775910365
2020-03-04,1.6274509803921569,FL,1.6274509803921569
