location,early,late,rate,diff
AK,5.551872737399053,67.84009409206777,10.354305831495557,62.28822135466872
AL,1.337730463980464,23.778857774778828,10.17177050184411,22.441127310798365
AR,4.264860066833751,61.48305155695507,11.67800298136519,57.21819149012132
AZ,1.1756966133281923,10.955408107162494,5.035356510668949,9.779711493834302
CA,2.0892857142857144,43.166666666666664,13.973025048169555,41.07738095238095
CO,4.429952455195518,74.40111901369522,13.701983512306139,69.9711665584997
CT,4.329536624111724,36.87271419944487,6.918559116870777,32.54317757533315
DC,4.4878772531739966,41.344314127166015,7.533753438682308,36.85643687399202
DE,10.392718910199727,80.45381789539522,7.061862802861408,70.06109898519549
FL,1.4738558906149526,23.17876569533286,9.369489056846826,21.704909804717907
GA,2.146956374589637,20.185351022664456,6.414245582065504,18.03839464807482
HI,4.079737367583849,85.24828239753613,16.7820255711535,81.16854502995228
IA,8.202050436613002,78.92029747515444,8.576381755217007,70.71824703854143
ID,2.6882993197278915,33.11612177209192,8.978696928137357,30.42782245236403
IL,2.9867088342186188,46.56353228962818,11.679692253912611,43.57682345540956
IN,6.591608561232713,82.13236253405472,10.818835279978952,75.540753972822
KS,5.151725793056949,33.48963748513104,5.443941848469353,28.337911692074094
KY,5.663370138328888,90.2135282481787,13.538723855253735,84.55015810984982
LA,4.12030209044104,71.53211286405815,13.970291518072655,67.4118107736171
MA,2.8085084033613446,48.976277271471965,12.859700461274047,46.16776886811062
MD,2.0577302896842626,26.70157089786269,8.732480751472643,24.64384060817843
ME,5.998438889233505,115.558386002155,16.512023299929307,109.55994711292149
MI,6.180261717363002,105.59121271748137,14.705760997840123,99.41095100011837
MN,2.1653923541247484,38.2371858602596,12.079761869151426,36.07179350613485
MO,1.5794890873015872,14.714351851851852,5.704366777238275,13.134862764550265
MS,2.504117351165818,14.733757076774372,4.204698530393812,12.229639725608553
MT,1.6428571428571428,57.4199074074074,21.72645145145145,55.777050264550255
NC,3.890249251032361,59.443840921972416,12.15558509812633,55.55359167094006
ND,3.0113762111683897,29.55965426034385,7.368955865581613,26.54827804917546
NE,1.161111111111111,25.41574074074074,11.7604970008569,24.25462962962963
NH,1.9595613364963211,140.58682803264847,47.50258975848167,138.62726669615216
NJ,1.6349131518636162,20.13211370672671,7.6405226838264895,18.497200554863092
NM,1.1806059265811586,15.405807298996152,7.064920401803179,14.225201372414993
NV,6.059027777777778,132.43055555555554,18.760452533202162,126.37152777777777
NY,1.5759026577138031,29.946376301716857,11.625585389276797,28.370473644003052
OH,5.031240722247713,97.10624094716292,16.10054140087009,92.0750002249152
OK,4.288183854686783,29.944643869261288,5.662557258239445,25.656460014574506
OR,5.231759199406259,93.89624043349534,15.067373020838394,88.66448123408908
PA,4.838085661615073,91.08021618903972,15.601041414634347,86.24213052742465
RI,6.166004093945271,57.67996480643539,8.049111338796273,51.513960712490125
SC,3.159692594986713,36.89450310038546,8.869526355108773,33.73481050539874
SD,8.769724308300395,25.932984848484846,2.6544234033760894,17.163260540184453
TN,3.5153730942970074,33.355864295125166,7.387177891734835,29.840491200828158
TX,2.8461867588932805,34.75699802371542,9.036742155941631,31.910811264822136
UT,1.6044270186335403,17.620072463768114,6.765431451027107,16.015645445134574
VA,1.766851953641767,17.637970957784443,6.374743301523275,15.871119004142676
VT,3.9688693659281893,99.92553222323667,20.11031582122717,95.95666285730849
WA,2.173997931766942,22.98054867179688,7.2402531967006585,20.806550740029937
WI,2.6865705373058315,25.8380421865716,7.00869328963232,23.151471649265766
WV,3.8386627289496733,27.814634436183937,5.748413558516745,23.975971707234265
WY,6.406098153547134,71.77465683242994,9.691291601104913,65.3685586788828
